Location,MinTemp,MaxTemp,Rainfall,Evaporation,Sunshine,WindGustDir,WindGustSpeed,WindDir9am,WindDir3pm,WindSpeed9am,WindSpeed3pm,Humidity9am,Humidity3pm,Pressure9am,Pressure3pm,Cloud9am,Cloud3pm,Temp9am,Temp3pm,RainToday,RainTomorrow
Sydney,16.4,23.9,0.0,6.4,8.0,NA,NA,WNW,E,9.0,26.0,78.0,53.0,1017.6,1015.3,7.0,8.0,18.9,23.7,No,No
Sydney,16.7,24.1,0.0,6.2,8.8,NA,NA,WNW,SSE,11.0,26.0,77.0,52.0,1023.0,1022.6,7.0,6.0,19.8,23.3,No,No
Sydney,19.0,24.8,0.0,5.2,7.5,NA,NA,WNW,E,7.0,17.0,79.0,65.0,1018.0,1015.4,7.0,7.0,20.8,23.4,No,No
Sydney,20.6,26.8,0.0,6.8,6.4,NA,NA,WNW,SE,4.0,15.0,86.0,62.0,1011.4,1009.7,7.0,7.0,22.1,24.9,No,No
Sydney,19.1,25.4,0.4,4.4,9.4,NA,NA,WNW,E,11.0,28.0,77.0,66.0,1009.2,1003.1,4.0,1.0,22.3,24.9,No,No
Sydney,16.5,28.3,0.0,8.6,12.0,NA,NA,WNW,ESE,11.0,24.0,48.0,40.0,1007.9,1008.0,0.0,0.0,21.2,26.1,No,No
Sydney,15.5,25.4,0.0,6.8,11.3,NA,NA,WNW,E,9.0,19.0,77.0,57.0,1020.5,1018.6,0.0,2.0,18.7,23.8,No,No
Sydney,16.5,24.8,17.4,6.0,9.6,NA,NA,WNW,E,9.0,22.0,88.0,71.0,1023.4,1022.3,1.0,2.0,18.8,21.5,Yes,No
Sydney,19.3,26.3,0.0,4.6,10.8,NA,NA,WNW,NE,9.0,24.0,76.0,50.0,1025.1,1022.5,1.0,0.0,22.9,25.5,No,No
Sydney,19.2,26.1,0.0,6.0,10.6,NA,NA,WNW,ESE,6.0,20.0,84.0,69.0,1019.7,1019.0,1.0,4.0,22.4,25.3,No,No
Sydney,19.5,25.7,0.0,6.4,10.0,NA,NA,WNW,NA,4.0,NA,82.0,60.0,1024.8,1022.8,4.0,1.0,22.0,25.4,No,No
Sydney,16.3,24.8,0.4,4.0,6.1,NA,NA,WNW,ESE,9.0,13.0,82.0,57.0,1023.1,1020.6,5.0,6.0,18.5,24.8,No,Yes
Sydney,13.5,25.6,0.0,5.8,10.4,NA,NA,WNW,WNW,9.0,17.0,57.0,31.0,1015.0,1012.5,4.0,1.0,16.3,24.9,No,No
Sydney,11.6,22.7,0.0,4.2,10.7,NA,NA,WNW,E,13.0,17.0,71.0,50.0,1024.5,1023.4,0.0,1.0,15.2,21.0,No,No
Sydney,11.6,18.2,0.0,4.0,2.7,NA,NA,WNW,W,11.0,7.0,74.0,56.0,1019.7,1016.7,7.0,7.0,13.4,18.1,No,No
Sydney,12.6,21.3,0.0,3.0,9.6,NA,NA,WNW,E,11.0,11.0,86.0,67.0,1022.2,1019.6,1.0,1.0,15.2,19.3,No,No
Sydney,14.0,19.4,0.0,1.2,2.1,NA,NA,WNW,SSE,13.0,15.0,84.0,67.0,1023.1,1021.2,7.0,7.0,16.8,18.7,No,No
Sydney,13.8,23.2,1.2,2.2,6.4,NA,NA,WNW,NE,15.0,15.0,78.0,66.0,1017.1,1013.0,6.0,2.0,15.9,20.9,Yes,No
Sydney,11.1,18.9,0.0,2.4,6.1,NA,NA,WNW,S,19.0,22.0,74.0,64.0,1022.4,1022.8,4.0,7.0,13.5,17.3,No,No
Sydney,11.0,18.4,0.0,3.4,5.4,NA,NA,WNW,SSE,17.0,13.0,76.0,53.0,1026.9,1024.6,1.0,5.0,12.7,17.1,No,No
Sydney,10.8,20.1,0.0,1.0,9.4,NA,NA,WNW,SSE,17.0,17.0,90.0,61.0,1028.6,1026.66,1.0,1.0,11.7,19.4,No,No
Sydney,12.7,17.7,6.0,1.4,0.5,NA,NA,WNW,ESE,17.0,17.0,97.0,71.0,1032.1,1029.8,8.0,7.0,14.1,17.2,Yes,Yes
Sydney,12.8,20.3,0.0,2.0,5.0,NA,NA,WNW,ESE,13.0,13.0,91.0,69.0,1020.3,1017.4,6.0,7.0,13.9,18.6,No,Yes
Sydney,8.2,17.1,0.0,3.4,7.0,NA,NA,WNW,WSW,13.0,13.0,74.0,43.0,1023.7,1020.4,1.0,7.0,9.9,17.0,No,No
Sydney,10.2,20.2,0.0,3.2,9.7,NA,NA,WNW,W,28.0,28.0,47.0,38.0,1017.0,1016.8,0.0,1.0,14.6,19.3,No,No
Sydney,7.9,21.0,0.0,0.8,9.8,NA,NA,WNW,NNW,13.0,6.0,84.0,42.0,1024.1,1018.8,2.0,1.0,9.2,20.8,No,No
Sydney,10.8,19.2,0.0,4.0,9.7,NA,NA,WNW,W,26.0,31.0,55.0,35.0,1012.5,1011.2,1.0,1.0,14.6,18.8,No,No
Sydney,9.1,17.4,14.2,1.6,2.5,NA,NA,WNW,NE,11.0,15.0,78.0,48.0,1031.9,1028.9,6.0,6.0,11.3,16.8,Yes,No
Sydney,7.2,15.8,1.8,2.4,4.9,NA,NA,WNW,NW,11.0,26.0,58.0,38.0,1014.6,1010.0,7.0,3.0,10.2,15.8,Yes,No
Sydney,8.9,18.0,0.0,2.0,9.6,NA,NA,WNW,SSE,13.0,11.0,81.0,50.0,1022.2,1019.1,1.0,1.0,10.8,17.4,No,No
Sydney,7.9,20.8,0.0,4.6,1.8,NA,NA,WNW,WNW,17.0,26.0,40.0,46.0,1004.8,1003.3,6.0,7.0,17.2,16.8,No,No
Sydney,8.5,21.5,0.0,2.6,9.3,NA,NA,WNW,E,19.0,15.0,78.0,51.0,1023.4,1019.3,2.0,3.0,11.1,18.7,No,No
Sydney,8.7,18.2,0.0,4.2,10.1,NA,NA,WNW,SSE,19.0,20.0,70.0,62.0,1025.7,1022.3,2.0,4.0,12.5,16.1,No,No
Sydney,7.1,17.7,0.0,3.0,10.3,NA,NA,WNW,ENE,15.0,20.0,72.0,60.0,1019.2,1014.2,1.0,2.0,12.3,16.8,No,No
Sydney,9.7,18.6,2.2,2.4,11.1,NA,NA,WNW,E,11.0,19.0,60.0,50.0,1030.3,1028.6,3.0,1.0,16.2,17.5,Yes,No
Sydney,19.8,32.9,0.0,6.6,8.4,NA,NA,WNW,SSE,17.0,28.0,35.0,62.0,1009.8,1007.1,2.0,2.0,25.4,21.5,No,No
Sydney,12.6,24.7,0.0,5.2,10.6,NA,NA,WNW,NE,9.0,22.0,70.0,69.0,1020.9,1015.7,6.0,1.0,19.0,20.5,No,No
Sydney,22.5,34.8,0.0,8.6,9.8,NA,NA,WNW,W,15.0,11.0,41.0,20.0,1014.8,1010.3,1.0,7.0,29.6,33.9,No,Yes
Sydney,12.6,21.5,0.0,6.0,10.7,NA,NA,WNW,E,11.0,20.0,76.0,57.0,1029.0,1025.4,3.0,3.0,16.9,20.5,No,No
Sydney,9.0,20.2,2.0,2.4,10.2,NA,NA,WNW,E,15.0,17.0,66.0,51.0,1023.2,1019.0,6.0,6.0,14.4,18.2,Yes,No
Sydney,17.2,30.3,2.8,3.4,10.3,NA,NA,WNW,W,22.0,24.0,62.0,35.0,1009.7,1006.0,2.0,4.0,23.1,28.6,Yes,No
Sydney,16.0,24.1,0.0,8.4,4.1,NA,NA,WNW,E,15.0,13.0,61.0,60.0,1014.5,1011.1,6.0,8.0,18.7,21.3,No,No
Sydney,17.3,27.6,29.4,4.6,7.5,NA,NA,WNW,N,15.0,13.0,70.0,59.0,1001.1,997.5,3.0,5.0,22.0,26.7,Yes,No
Sydney,17.9,20.6,0.0,10.0,9.8,NA,NA,WNW,NA,31.0,NA,49.0,30.0,990.2,991.4,3.0,6.0,20.3,17.2,No,No
Sydney,12.2,19.7,0.2,9.8,2.1,NA,NA,WNW,SSW,19.0,26.0,50.0,55.0,986.7,991.0,7.0,5.0,13.8,18.4,No,Yes
Sydney,17.7,26.0,0.0,9.2,9.6,NA,NA,WNW,E,6.0,17.0,68.0,73.0,1011.9,1008.0,1.0,6.0,22.3,23.1,No,No
Sydney,19.3,27.4,0.0,4.8,8.4,NA,NA,WNW,E,13.0,17.0,65.0,68.0,1005.0,1001.2,2.0,6.0,23.1,24.0,No,No
Sydney,17.3,26.4,0.6,10.2,12.2,NA,NA,WNW,SE,7.0,30.0,67.0,58.0,1005.9,1007.8,2.0,6.0,21.6,21.2,No,No
Sydney,14.8,23.3,0.0,5.6,12.7,NA,NA,WNW,E,11.0,22.0,62.0,46.0,1021.9,1020.0,1.0,3.0,19.5,22.9,No,No
Sydney,19.2,27.4,17.0,8.4,6.6,NA,NA,WNW,E,6.0,15.0,81.0,61.0,1010.7,1007.8,2.0,3.0,21.7,25.0,Yes,No
Sydney,17.1,24.5,0.0,5.4,10.1,NA,NA,WNW,ENE,11.0,17.0,72.0,52.0,1019.0,1016.1,1.0,1.0,20.1,24.3,No,No
Sydney,16.4,23.5,0.0,4.4,10.8,NA,NA,WNW,E,9.0,17.0,85.0,49.0,1025.4,1023.2,3.0,1.0,17.9,23.0,No,No
Sydney,16.1,24.4,0.0,6.6,9.4,NA,NA,WNW,E,9.0,19.0,77.0,66.0,1023.6,1021.7,5.0,5.0,18.9,23.0,No,No
Sydney,15.1,23.2,0.0,2.8,8.4,NA,NA,WNW,E,9.0,19.0,72.0,58.0,1025.5,1022.3,1.0,3.0,19.6,21.8,No,No
Sydney,13.5,24.1,0.0,4.8,10.3,NA,NA,WNW,S,13.0,19.0,56.0,51.0,1016.3,1015.9,0.0,1.0,18.4,22.5,No,No
Sydney,14.7,21.6,2.0,4.2,6.3,NA,NA,WNW,ENE,15.0,7.0,87.0,60.0,1021.8,1018.2,3.0,5.0,16.9,20.0,Yes,No
Sydney,16.7,20.2,0.0,6.8,9.2,NA,NA,WNW,WNW,20.0,28.0,47.0,29.0,1003.1,1003.1,2.0,2.0,17.7,19.5,No,No
Sydney,10.2,17.6,0.0,4.6,2.4,NA,NA,WNW,S,20.0,22.0,59.0,63.0,1022.3,1019.5,7.0,7.0,12.6,16.6,No,Yes
Sydney,12.5,19.1,0.0,1.2,3.4,NA,NA,WNW,ENE,13.0,15.0,91.0,68.0,1030.1,1027.1,7.0,7.0,13.7,18.5,No,Yes
Sydney,14.1,21.0,12.2,1.8,6.7,NA,NA,WNW,NE,9.0,4.0,96.0,59.0,1020.3,1017.7,7.0,2.0,15.1,20.6,Yes,No
Sydney,8.7,16.9,0.0,2.2,6.5,NA,NA,WNW,WNW,13.0,13.0,69.0,50.0,1014.6,1012.2,6.0,7.0,11.9,15.8,No,No
Sydney,9.4,15.8,0.0,2.2,0.2,NA,NA,WNW,N,7.0,9.0,84.0,79.0,1008.1,1005.4,7.0,7.0,10.4,15.1,No,No
Sydney,8.6,16.8,13.8,2.6,3.2,NA,NA,WNW,ESE,15.0,4.0,96.0,61.0,1029.6,1028.2,7.0,6.0,10.5,15.4,Yes,Yes
Sydney,9.1,17.6,6.2,0.4,4.4,NA,NA,WNW,ESE,13.0,30.0,96.0,63.0,1030.9,1028.5,7.0,5.0,10.3,16.2,Yes,Yes
Sydney,9.5,19.5,0.0,2.2,9.1,NA,NA,WNW,WSW,17.0,9.0,61.0,41.0,1024.3,1022.3,1.0,5.0,11.3,18.7,No,No
Sydney,8.3,20.5,0.0,4.0,8.8,NA,NA,WNW,W,13.0,22.0,58.0,29.0,1020.3,1019.6,3.0,6.0,13.4,19.9,No,No
Sydney,6.8,16.3,0.0,1.8,4.1,NA,NA,WNW,E,11.0,15.0,77.0,59.0,1019.8,1017.0,7.0,8.0,9.1,15.7,No,No
Sydney,8.7,22.1,0.0,3.2,10.5,NA,NA,WNW,WNW,13.0,9.0,77.0,35.0,1019.6,1016.2,0.0,0.0,11.1,22.1,No,No
Sydney,7.8,17.9,0.0,4.2,10.4,NA,NA,WNW,NE,13.0,20.0,70.0,50.0,1027.7,1023.2,0.0,1.0,10.8,17.5,No,No
Sydney,12.0,21.6,0.0,8.4,10.9,NA,NA,WNW,WNW,13.0,24.0,32.0,20.0,1013.1,1010.8,0.0,0.0,15.1,21.3,No,No
Sydney,9.2,21.5,0.0,6.0,10.9,NA,NA,WNW,W,20.0,13.0,40.0,30.0,1017.4,1014.0,1.0,1.0,14.7,21.4,No,No
Sydney,9.7,18.7,0.0,3.8,10.9,NA,NA,WNW,E,11.0,19.0,60.0,58.0,1024.7,1021.8,0.0,1.0,14.4,17.7,No,No
Sydney,9.5,22.4,0.0,5.0,10.7,NA,NA,WNW,E,15.0,20.0,50.0,47.0,1022.6,1019.4,0.0,1.0,15.2,18.4,No,No
Sydney,11.0,28.5,0.0,6.0,10.9,NA,NA,WNW,NE,11.0,9.0,49.0,27.0,1022.5,1019.1,0.0,0.0,17.3,25.5,No,No
Sydney,13.8,24.7,0.0,5.8,8.5,NA,NA,WNW,NE,9.0,15.0,49.0,30.0,1014.8,1010.9,4.0,6.0,20.7,23.7,No,No
Sydney,13.8,23.0,0.0,7.6,10.0,NA,NA,WNW,WNW,11.0,24.0,46.0,28.0,1008.4,1006.2,6.0,7.0,18.8,22.0,No,No
Sydney,11.6,21.2,0.0,8.0,12.2,NA,NA,WNW,SE,15.0,20.0,53.0,43.0,1020.8,1020.6,1.0,1.0,16.8,20.3,No,Yes
Sydney,15.6,34.6,0.0,7.6,11.6,NA,NA,WNW,E,15.0,19.0,44.0,28.0,1019.8,1016.8,1.0,3.0,21.1,29.7,No,No
Sydney,21.3,33.2,1.0,7.8,12.4,NA,NA,WNW,E,17.0,24.0,50.0,41.0,1009.7,1007.1,1.0,1.0,26.1,28.7,No,No
Sydney,19.5,30.5,0.0,10.6,12.4,NA,NA,WNW,W,13.0,28.0,28.0,20.0,1000.9,998.7,0.0,5.0,25.3,29.3,No,No
Sydney,15.2,22.6,0.0,6.8,12.9,NA,NA,WNW,ENE,2.0,30.0,58.0,52.0,1022.6,1017.9,1.0,1.0,19.7,22.0,No,No
Sydney,20.1,27.6,0.0,10.2,8.8,NA,NA,WNW,E,9.0,26.0,68.0,70.0,1009.1,1000.8,7.0,3.0,22.6,24.1,No,No
Sydney,17.4,28.9,0.0,10.4,13.0,NA,NA,WNW,E,7.0,24.0,41.0,34.0,1010.4,1007.8,0.0,0.0,23.2,26.6,No,No
Sydney,19.5,26.1,0.4,3.6,2.8,NA,NA,WNW,E,2.0,19.0,80.0,70.0,1014.8,1011.8,8.0,7.0,22.4,25.7,No,No
Sydney,19.6,30.2,2.6,3.4,9.5,NA,NA,WNW,SE,7.0,20.0,81.0,53.0,1008.6,1010.0,1.0,1.0,22.2,29.6,Yes,Yes
Sydney,20.8,30.0,0.0,9.2,11.7,NA,NA,WNW,W,11.0,22.0,46.0,35.0,1013.4,1012.2,1.0,1.0,23.9,29.6,No,No
Sydney,18.7,27.0,0.0,4.4,10.9,NA,NA,WNW,ENE,13.0,22.0,74.0,60.0,1020.1,1017.4,0.0,5.0,21.6,26.1,No,No
Sydney,15.9,24.0,0.0,6.6,7.2,NA,NA,WNW,SE,17.0,15.0,72.0,56.0,1021.4,1020.0,2.0,3.0,18.6,22.1,No,Yes
Sydney,15.2,21.5,1.2,4.4,2.5,NA,NA,WNW,SE,9.0,7.0,76.0,64.0,1021.1,1019.0,5.0,7.0,19.6,20.5,Yes,No
Sydney,16.4,25.0,4.4,5.0,9.9,NA,NA,WNW,SE,15.0,20.0,68.0,55.0,1014.8,1011.1,2.0,6.0,20.8,22.4,Yes,No
Sydney,16.9,22.3,0.0,3.6,1.5,NA,NA,WNW,SSE,9.0,15.0,77.0,64.0,1027.0,1025.1,7.0,6.0,18.1,21.8,No,No
Sydney,NA,25.0,0.0,3.6,10.7,NA,NA,WNW,ESE,11.0,13.0,84.0,66.0,1027.3,1024.3,2.0,2.0,19.9,23.6,No,No
Sydney,17.2,24.9,0.0,2.8,9.6,NA,NA,WNW,E,6.0,13.0,82.0,65.0,1026.0,1023.7,2.0,2.0,20.5,24.2,No,No
Sydney,16.7,25.7,0.0,5.4,10.6,NA,NA,WNW,E,11.0,19.0,81.0,63.0,1022.9,1019.4,1.0,1.0,19.3,23.9,No,No
Sydney,16.2,24.8,0.0,2.8,4.2,NA,NA,WNW,NE,2.0,17.0,80.0,54.0,1021.3,1015.8,7.0,5.0,19.2,24.2,No,No
Sydney,11.7,19.5,0.0,1.2,6.4,NA,NA,WNW,SSE,13.0,20.0,83.0,58.0,1020.6,1017.9,3.0,6.0,13.9,18.4,No,Yes
Sydney,12.1,16.9,0.8,NA,0.1,NA,NA,WNW,WNW,11.0,7.0,89.0,84.0,1011.7,1006.3,7.0,7.0,14.1,16.8,No,Yes
Sydney,11.8,19.1,3.0,1.4,2.2,NA,NA,WNW,W,15.0,2.0,78.0,56.0,1003.2,1002.4,4.0,6.0,13.0,18.7,Yes,Yes
Sydney,9.1,18.9,0.0,1.6,9.6,NA,NA,WNW,ENE,11.0,15.0,89.0,59.0,1028.9,1024.1,2.0,2.0,10.6,18.3,No,No
Sydney,13.5,20.0,1.0,1.4,4.0,NA,NA,WNW,WSW,20.0,17.0,78.0,50.0,1017.3,1016.3,7.0,2.0,15.2,19.7,No,No
Sydney,4.7,14.4,0.0,2.6,9.9,NA,NA,WNW,WSW,13.0,6.0,63.0,36.0,1020.1,1017.0,0.0,0.0,7.0,14.4,No,No
Sydney,9.7,15.6,32.0,0.0,3.8,NA,NA,WNW,S,19.0,9.0,96.0,83.0,1029.6,1027.9,6.0,7.0,10.7,13.9,Yes,Yes
Sydney,13.9,18.1,1.0,1.8,8.0,NA,NA,WNW,WNW,20.0,22.0,56.0,33.0,1008.7,1008.6,3.0,1.0,14.4,17.4,No,No
Sydney,11.3,19.3,0.0,6.2,10.8,NA,NA,WNW,WNW,11.0,19.0,45.0,26.0,1012.4,1010.9,1.0,1.0,14.3,19.2,No,No
Sydney,8.8,16.7,0.0,5.6,10.9,NA,NA,WNW,W,20.0,30.0,44.0,33.0,1017.0,1015.2,1.0,2.0,12.8,16.7,No,No
Sydney,10.3,19.2,0.0,5.8,8.4,NA,NA,WNW,WNW,20.0,28.0,47.0,35.0,1008.1,1008.0,5.0,3.0,14.1,18.8,No,No
Sydney,7.8,18.4,0.0,4.0,9.7,NA,NA,WNW,E,15.0,15.0,68.0,55.0,NA,1025.9,1.0,1.0,11.1,16.3,No,No
Sydney,14.2,27.0,0.0,7.6,9.8,NA,NA,WNW,WNW,11.0,17.0,36.0,18.0,1013.2,NA,1.0,4.0,21.7,26.2,No,No
Sydney,8.6,18.7,4.0,6.4,10.7,NA,NA,WNW,E,11.0,19.0,54.0,42.0,NA,NA,1.0,2.0,14.4,16.2,Yes,No
Sydney,12.0,23.5,0.0,NA,10.2,NA,NA,WNW,NE,15.0,17.0,73.0,50.0,1026.5,1024.0,NA,NA,14.0,23.0,No,No
Sydney,11.4,21.4,0.0,4.8,7.6,NA,NA,WNW,ENE,13.0,17.0,49.0,49.0,1018.3,1012.5,NA,NA,17.8,20.1,No,No
Sydney,10.6,24.7,0.0,3.8,9.1,NA,NA,WNW,ENE,9.0,19.0,59.0,54.0,1015.5,1010.4,6.0,6.0,16.1,20.8,No,No
Sydney,6.4,17.3,0.0,NA,9.6,NA,NA,WNW,S,24.0,19.0,56.0,40.0,1032.9,1030.8,1.0,2.0,9.6,16.6,No,No
Sydney,17.4,26.7,0.0,8.0,12.7,NA,NA,WNW,E,9.0,24.0,62.0,52.0,1019.4,1016.8,1.0,5.0,21.3,24.2,No,No
Sydney,16.1,27.3,0.0,3.8,9.6,NA,NA,WNW,E,19.0,19.0,70.0,51.0,1019.8,1015.5,5.0,3.0,19.3,23.7,No,No
Sydney,12.4,22.1,0.0,7.4,10.4,NA,NA,WNW,W,35.0,39.0,40.0,34.0,1005.0,1005.5,3.0,3.0,19.5,20.2,No,No
Sydney,21.7,22.4,0.0,11.8,2.4,NA,NA,WNW,NNW,28.0,15.0,43.0,78.0,1005.8,1008.3,7.0,7.0,22.4,14.5,No,Yes
Sydney,19.5,25.6,6.0,3.4,2.7,NA,NA,W,E,9.0,13.0,83.0,73.0,1017.9,1016.4,7.0,7.0,22.4,24.8,Yes,Yes
Sydney,20.2,27.2,1.6,2.6,8.6,NA,NA,W,ENE,9.0,22.0,69.0,62.0,1002.7,998.6,6.0,6.0,23.8,26.0,Yes,Yes
Sydney,18.6,26.3,6.2,5.2,5.2,NA,NA,W,S,15.0,15.0,75.0,80.0,999.0,1000.3,4.0,7.0,21.7,22.3,Yes,Yes
Sydney,14.6,24.2,8.8,4.4,10.1,NA,NA,W,SSE,11.0,20.0,80.0,53.0,1014.0,1013.4,4.0,2.0,17.2,23.3,Yes,No
Sydney,18.3,26.4,0.0,4.6,11.1,NA,NA,W,E,13.0,22.0,80.0,60.0,1013.4,1010.8,3.0,1.0,21.3,25.2,No,No
Sydney,12.8,22.0,0.2,6.2,11.3,NA,NA,W,SSE,19.0,31.0,55.0,46.0,1020.9,1020.6,0.0,1.0,15.9,21.2,No,Yes
Sydney,14.2,23.4,5.4,6.4,7.3,NA,NA,W,SE,13.0,17.0,93.0,54.0,1026.2,1025.2,7.0,2.0,15.1,22.4,Yes,No
Sydney,15.0,23.1,0.2,2.6,11.2,NA,NA,W,ENE,15.0,19.0,78.0,57.0,1025.8,1022.5,1.0,1.0,18.2,22.5,No,No
Sydney,16.4,24.3,0.0,4.6,10.2,NA,NA,W,E,9.0,19.0,82.0,64.0,1025.5,1025.2,1.0,2.0,19.7,23.8,No,No
Sydney,19.3,26.4,0.0,7.0,11.1,NA,NA,W,NE,7.0,22.0,77.0,60.0,1021.9,1018.8,1.0,1.0,22.2,25.0,No,No
Sydney,18.8,26.0,0.0,5.4,11.0,NA,NA,W,ENE,9.0,24.0,84.0,62.0,1022.8,1020.0,3.0,1.0,21.8,25.7,No,No
Sydney,19.7,25.8,0.0,5.6,10.1,NA,NA,W,E,7.0,24.0,81.0,69.0,1024.6,1022.6,2.0,2.0,22.8,24.7,No,No
Sydney,15.0,23.6,0.0,5.8,11.0,NA,NA,W,ESE,20.0,19.0,52.0,42.0,1014.7,1013.4,1.0,1.0,17.5,21.8,No,No
Sydney,14.4,22.9,0.2,4.8,9.3,NA,NA,W,E,15.0,15.0,85.0,65.0,1015.4,1011.2,3.0,2.0,16.7,21.7,No,No
Sydney,13.1,26.8,0.0,4.6,10.9,NA,NA,W,WNW,22.0,15.0,61.0,22.0,1013.0,1009.0,0.0,1.0,16.9,25.9,No,No
Sydney,13.7,23.9,0.0,6.6,11.0,NA,NA,W,ESE,20.0,15.0,55.0,54.0,1023.0,1021.5,1.0,1.0,16.7,23.3,No,No
Sydney,14.1,28.7,0.0,3.8,10.5,NA,NA,W,N,6.0,22.0,75.0,34.0,1019.0,1012.4,1.0,7.0,17.8,28.0,No,No
Sydney,11.2,22.2,0.0,7.6,10.6,NA,NA,W,E,24.0,15.0,47.0,37.0,1020.8,1019.2,1.0,0.0,13.9,21.0,No,No
Sydney,13.1,22.7,0.0,3.6,6.4,NA,NA,W,ESE,13.0,20.0,71.0,55.0,1027.2,1024.6,5.0,6.0,17.7,22.1,No,Yes
Sydney,15.6,22.2,22.8,5.4,5.8,NA,NA,W,E,13.0,20.0,96.0,62.0,1024.6,1021.4,7.0,5.0,16.3,21.1,Yes,Yes
Sydney,13.8,22.7,2.2,3.6,10.6,NA,NA,W,E,15.0,15.0,77.0,60.0,1022.1,1019.7,5.0,1.0,18.7,21.9,Yes,No
Sydney,14.1,23.5,0.0,3.2,8.9,NA,NA,W,E,15.0,15.0,83.0,61.0,1020.1,1017.5,4.0,2.0,17.1,22.1,No,No
Sydney,14.0,23.8,0.0,4.0,7.8,NA,NA,W,E,11.0,9.0,79.0,59.0,1018.6,1016.0,7.0,4.0,17.6,22.2,No,No
Sydney,15.1,22.7,0.0,1.8,6.6,NA,NA,W,ESE,11.0,4.0,81.0,75.0,1016.4,1013.4,5.0,6.0,17.4,19.7,No,Yes
